fecha,temp_media,hum_media,rad_media,pres_media,precip_total,viento_media,n_registros
2018-06-08,26.14,77.68,11.27,1008.12,6.3,6.16,24
2018-06-09,26.28,77.58,7.78,1006.91,6.48,6.09,24
2018-06-10,25.55,75.75,10.57,1007.43,6.3,6.06,24
2018-06-11,24.84,77.82,7.99,1008.11,1.13,6.0,24
2018-06-12,26.44,73.96,11.68,1012.46,0.92,6.22,24
2018-06-13,26.96,73.84,10.28,1007.49,0.57,6.37,24
2018-06-14,25.58,75.17,11.95,1010.48,0.79,5.82,24
2018-06-15,25.49,73.18,11.81,1007.62,0.78,6.25,24
2018-06-16,24.49,73.32,10.68,1010.71,0.79,5.98,24
2018-06-17,25.52,74.4,9.05,1009.74,0.85,6.15,24
2018-06-18,26.61,74.46,10.95,1008.59,0.48,6.06,24
2018-06-19,25.47,76.77,8.84,1008.96,1.18,5.74,24
2018-06-20,25.63,73.57,13.83,1007.84,0.8,5.47,24
2018-06-21,26.27,75.99,8.1,1009.73,0.95,6.27,24
2018-06-22,26.88,77.46,10.32,1008.06,0.98,6.19,24
2018-06-23,25.87,77.49,11.88,1006.73,1.05,6.11,24
2018-06-24,24.65,78.87,10.91,1006.86,1.1,5.94,24
2018-06-25,26.93,74.27,13.47,1008.77,2.97,6.4,24
2018-06-26,26.86,78.31,11.36,1010.88,2.99,6.09,24
2018-06-27,26.81,73.72,8.34,1008.82,3.1,6.2,24
2018-06-28,26.43,73.38,8.05,1008.23,3.03,6.15,24
2018-06-29,24.76,75.46,8.61,1009.1,3.15,6.09,24
2018-06-30,25.09,73.96,12.75,1010.56,2.99,5.93,24
2018-07-01,25.95,72.89,10.35,1008.77,2.75,6.24,24
2018-07-02,25.01,53.79,13.55,1005.61,39.87,5.68,24
2018-07-03,25.52,50.8,13.59,1008.0,38.01,5.44,24
2018-07-04,25.39,53.77,14.1,1006.91,39.05,5.52,24
2018-07-05,25.61,54.5,11.05,1008.57,38.76,5.76,24
2018-07-06,24.64,52.01,11.78,1006.65,37.67,5.57,24
2018-07-07,24.44,51.25,7.89,1004.39,37.96,6.06,24
2018-07-08,24.0,51.49,13.33,1004.05,36.94,5.95,24
2018-07-09,23.89,50.27,11.79,1011.17,2.07,6.01,24
2018-07-10,24.12,49.96,10.59,1011.24,1.97,5.6,24
2018-07-11,24.27,55.06,9.56,1007.85,2.0,5.5,24
2018-07-12,25.97,52.61,8.48,1007.5,1.88,5.54,24
2018-07-13,25.84,54.54,9.49,1010.47,2.2,5.64,24
2018-07-14,24.1,53.85,10.42,1006.55,1.89,5.53,24
2018-07-15,25.91,52.53,13.88,1006.58,2.09,5.2,24
2018-07-16,24.62,53.49,10.66,1009.15,3.79,5.82,24
2018-07-17,24.93,54.47,11.33,1007.4,3.3,5.7,24
2018-07-18,25.1,53.02,12.39,1008.07,3.75,6.08,24
2018-07-19,24.12,52.67,10.67,1007.61,3.68,5.94,24
2018-07-20,25.38,52.67,10.59,1008.4,3.38,5.49,24
2018-07-21,25.0,51.96,11.26,1010.19,3.76,5.61,24
2018-07-22,24.83,54.33,9.54,1008.09,3.74,5.74,24
2018-07-23,23.71,52.01,10.21,1009.19,0.51,5.84,24
2018-07-24,25.95,53.46,9.71,1004.59,0.57,6.0,24
2018-07-25,23.98,53.98,11.5,1007.98,0.35,5.83,24
2018-07-26,25.51,54.01,14.1,1006.6,0.6,5.6,24
2018-07-27,25.68,50.85,12.81,1005.88,0.81,5.63,24
2018-07-28,24.52,54.99,9.96,1006.47,0.48,5.5,24
2018-07-29,24.42,55.24,8.84,1007.28,0.33,5.71,24
2018-07-30,25.44,37.05,12.96,1009.23,0.2,6.66,24
2018-07-31,23.94,37.71,14.13,1005.71,0.48,6.69,24
2018-08-01,24.62,39.57,7.39,1007.74,0.36,6.33,24
2018-08-02,24.96,40.65,10.72,1007.03,0.23,6.85,24
2018-08-03,25.44,37.56,13.74,1007.28,0.72,6.28,24
2018-08-04,25.46,40.88,12.92,1009.19,0.37,6.31,24
2018-08-05,24.52,40.24,7.68,1008.66,0.59,6.6,24
2018-08-06,24.28,39.08,12.12,1010.01,0.35,6.73,24
2018-08-07,25.21,38.94,11.7,1007.43,0.4,6.46,24
2018-08-08,24.28,37.69,9.25,1006.52,0.36,6.71,24
2018-08-09,25.98,39.35,7.1,1007.15,0.48,6.35,24
2018-08-10,24.29,40.28,11.24,1007.98,0.35,6.61,24
2018-08-11,23.92,37.95,12.98,1007.84,0.44,6.55,24
2018-08-12,24.31,39.7,10.2,1005.76,0.2,6.48,24
2018-08-13,24.46,39.24,11.8,1007.55,0.58,6.54,24
2018-08-14,23.76,38.84,10.73,1007.8,0.42,6.42,24
2018-08-15,23.77,40.35,9.37,1011.68,0.31,6.76,24
2018-08-16,25.94,37.12,14.7,1010.3,0.56,6.33,24
2018-08-17,24.24,38.11,8.31,1006.16,0.67,6.38,24
2018-08-18,24.97,37.13,11.5,1006.94,0.59,6.1,24
2018-08-19,23.69,37.87,9.6,1005.1,0.33,6.21,24
2018-08-20,23.7,38.9,8.01,1006.46,0.93,6.5,24
2018-08-21,23.72,39.4,14.72,1007.99,0.67,6.25,24
2018-08-22,24.0,38.35,13.28,1009.46,0.7,6.61,24
2018-08-23,24.2,40.64,10.82,1006.11,0.72,6.42,24
2018-08-24,24.14,37.43,9.31,1006.44,0.41,6.28,24
2018-08-25,25.01,39.84,11.88,1003.72,0.49,6.66,24
2018-08-26,24.61,37.37,10.45,1007.06,0.55,6.52,24
2018-08-27,25.89,37.27,10.86,1005.41,0.49,6.9,24
2018-08-28,24.44,38.23,7.69,1006.34,0.27,6.62,24
2018-08-29,24.79,36.68,10.93,1005.7,0.25,6.63,24
2018-08-30,24.32,36.16,13.16,1006.98,0.48,6.76,24
2018-08-31,23.89,37.81,14.38,1004.42,0.55,6.72,24
2018-09-01,23.88,38.63,12.4,1004.77,0.43,6.78,24
2018-09-02,25.5,36.45,15.34,1010.51,0.33,6.7,24
2018-09-03,24.92,31.49,14.56,1004.88,0.42,7.15,24
2018-09-04,24.4,29.82,11.33,1005.38,0.53,6.76,24
2018-09-05,26.15,32.79,10.16,1009.84,0.61,7.25,24
2018-09-06,25.57,31.82,12.07,1011.53,0.33,7.18,24
2018-09-07,25.36,32.2,13.07,1005.21,0.63,6.9,24
2018-09-08,24.8,30.1,15.74,1006.36,0.37,7.34,24
2018-09-09,25.65,31.8,7.56,1007.41,0.64,7.09,24
2018-09-10,25.46,29.74,9.83,1009.79,0.46,7.08,24
2018-09-11,25.41,32.24,12.46,1005.32,0.51,7.33,24
2018-09-12,26.81,29.32,10.78,1006.33,0.33,7.09,24
2018-09-13,24.36,31.15,10.14,1008.18,0.67,6.87,24
2018-09-14,25.01,32.13,12.21,1007.65,0.42,7.0,24
2018-09-15,26.08,31.76,9.81,1006.17,0.63,7.0,24
2018-09-16,26.04,31.21,12.5,1006.48,0.38,7.16,24
2018-09-17,26.16,32.28,16.05,1004.6,0.83,7.07,24
2018-09-18,24.55,32.21,10.36,1006.6,0.37,6.87,24
2018-09-19,24.39,30.56,14.03,1006.54,0.49,7.25,24
2018-09-20,26.72,29.6,14.54,1007.08,0.77,7.32,24
2018-09-21,26.66,30.09,17.81,1005.87,0.45,6.88,24
2018-09-22,25.73,32.02,16.88,1007.56,0.56,7.01,24
2018-09-23,25.62,30.54,13.67,1008.42,0.54,6.77,24
2018-09-24,24.56,30.87,14.98,1007.23,0.33,7.1,24
2018-09-25,26.6,31.95,15.31,1007.23,0.42,7.32,24
2018-09-26,24.94,30.59,10.41,1006.79,0.28,7.13,24
2018-09-27,26.33,30.47,13.59,1006.88,0.34,6.92,24
2018-09-28,25.39,32.15,15.66,1005.77,0.66,7.31,24
2018-09-29,24.76,32.36,16.38,1007.36,0.36,7.38,24
2018-09-30,26.94,30.54,13.29,1006.43,0.45,7.26,24
2018-10-01,25.85,37.24,13.18,1010.1,0.37,8.64,24
2018-10-02,26.91,37.52,12.08,1009.21,0.33,8.58,24
2018-10-03,27.0,36.65,11.71,1007.29,0.32,8.7,24
2018-10-04,26.54,38.9,13.0,1005.54,0.52,8.69,24
2018-10-05,27.19,36.58,9.53,1004.78,0.44,8.19,24
2018-10-06,25.37,35.99,11.86,1008.81,0.49,8.76,24
2018-10-07,27.47,38.95,15.05,1007.0,0.45,8.23,24
2018-10-08,27.47,36.71,9.56,1007.42,0.57,8.88,24
2018-10-09,27.66,35.78,11.53,1003.79,0.4,8.8,24
2018-10-10,25.54,37.53,12.61,1008.25,0.4,8.86,24
2018-10-11,25.15,37.98,12.02,1007.66,0.41,8.19,24
2018-10-12,27.42,35.25,8.12,1004.95,0.4,8.46,24
2018-10-13,25.87,34.88,7.63,1006.16,0.41,8.2,24
2018-10-14,26.54,36.71,12.22,1007.05,0.55,8.33,24
2018-10-15,25.18,35.72,10.59,1006.93,0.44,8.58,24
2018-10-16,27.63,37.26,10.58,1006.09,0.54,7.98,24
2018-10-17,27.72,38.0,13.57,1006.36,0.32,8.13,24
2018-10-18,26.57,37.13,10.64,1006.27,0.53,8.62,24
2018-10-19,26.04,35.48,12.61,1007.09,0.33,8.94,24
2018-10-20,25.16,34.95,16.07,1009.18,0.37,8.77,24
2018-10-21,25.8,36.84,13.08,1002.83,0.53,8.4,24
2018-10-22,27.49,35.47,11.88,1006.16,1.07,8.7,24
2018-10-23,25.12,38.03,15.43,1007.14,1.26,8.39,24
2018-10-24,25.72,36.79,11.7,1007.37,0.93,8.78,24
2018-10-25,26.64,35.66,15.11,1006.12,1.05,8.92,24
2018-10-26,27.26,35.98,14.78,1003.89,0.91,8.48,24
2018-10-27,26.97,35.43,14.56,1007.3,1.14,8.8,24
2018-10-28,25.15,35.08,10.52,1009.59,0.82,8.71,24
2018-10-29,26.95,47.96,15.87,1004.43,0.36,9.12,24
2018-10-30,26.54,51.02,16.05,1008.34,0.5,8.69,24
2018-10-31,26.31,50.0,18.4,1006.47,0.48,8.8,24
2018-11-01,25.6,47.46,15.21,1006.97,0.6,8.98,24
2018-11-02,27.68,51.02,17.09,1005.37,0.65,8.92,24
2018-11-03,26.93,52.37,14.88,1006.42,0.64,9.4,24
2018-11-04,25.96,51.73,12.26,1009.11,0.39,9.34,24
2018-11-05,28.01,47.4,13.81,1007.85,0.56,9.56,24
2018-11-06,26.06,52.04,14.79,1009.87,0.52,9.07,24
2018-11-07,27.53,49.11,14.67,1008.79,0.2,9.44,24
2018-11-08,25.57,51.38,16.1,1007.79,0.64,8.96,24
2018-11-09,26.8,48.34,18.49,1009.74,0.48,9.31,24
2018-11-10,25.58,51.82,13.45,1007.88,0.77,8.79,24
2018-11-11,26.61,48.52,15.13,1008.62,0.43,9.19,24
2018-11-12,26.96,47.88,16.49,1006.56,0.53,9.11,24
2018-11-13,27.5,51.2,14.09,1007.16,0.71,9.49,24
2018-11-14,26.6,47.52,17.74,1005.99,0.37,8.6,24
2018-11-15,26.29,47.07,18.06,1008.92,0.34,9.33,24
2018-11-16,25.63,50.17,17.88,1005.51,0.36,9.07,24
2018-11-17,25.79,49.36,16.53,1008.45,0.51,9.28,24
2018-11-18,26.37,49.23,17.92,1006.87,0.52,8.74,24
2018-11-19,27.43,50.66,15.35,1009.11,1.14,9.22,24
2018-11-20,27.98,51.25,17.08,1008.39,0.51,9.01,24
2018-11-21,25.55,49.95,16.25,1010.51,0.47,8.9,24
2018-11-22,26.08,52.1,16.23,1008.54,0.84,9.37,24
2018-11-23,26.85,50.85,18.42,1004.92,0.97,8.6,24
2018-11-24,27.39,49.99,13.95,1007.18,0.94,8.69,24
2018-11-25,27.11,49.01,15.34,1005.6,0.65,9.3,24
2018-11-26,28.06,51.98,15.4,1006.34,0.36,8.7,24
2018-11-27,27.08,50.06,16.32,1009.81,0.57,8.64,24
2018-11-28,25.51,52.03,19.14,1008.73,0.47,9.29,24
2018-11-29,27.22,50.8,18.76,1006.34,0.41,9.28,24
2018-11-30,25.59,51.22,17.1,1006.07,0.47,9.48,24
2018-12-01,26.79,51.03,13.39,1007.62,0.58,9.2,24
2018-12-02,26.42,53.16,12.89,1005.6,0.7,8.71,24
2018-12-03,29.06,60.87,9.79,1005.92,5.06,8.91,24
2018-12-04,27.27,58.98,14.4,1007.76,5.02,9.81,24
2018-12-05,28.35,55.93,8.63,1009.01,5.43,9.56,24
2018-12-06,29.21,59.91,13.04,1008.24,5.63,9.12,24
2018-12-07,26.93,58.14,10.62,1004.03,5.36,9.79,24
2018-12-08,28.87,59.04,6.0,1007.84,5.39,9.44,24
2018-12-09,28.69,61.02,9.37,1007.44,5.44,9.23,24
2018-12-10,27.64,60.36,12.6,1008.42,2.58,9.68,24
2018-12-11,29.08,55.97,10.54,1010.14,2.76,9.17,24
2018-12-12,28.14,58.19,8.58,1004.3,2.54,9.13,24
2018-12-13,28.28,55.18,12.68,1006.67,2.61,9.69,24
2018-12-14,27.43,58.92,6.4,1008.91,2.96,9.92,24
2018-12-15,28.22,59.57,10.86,1005.28,2.8,9.33,24
2018-12-16,28.92,55.66,10.35,1010.08,3.09,9.72,24
2018-12-17,29.15,60.52,0.07,1008.39,0.38,9.73,24
2018-12-18,27.18,59.49,14.42,1009.39,0.31,9.2,24
2018-12-19,27.67,56.36,13.92,1007.07,0.43,9.71,24
2018-12-20,27.04,58.86,12.13,1009.32,0.54,9.43,24
2018-12-21,27.4,56.83,9.96,1009.76,0.6,9.2,24
2018-12-22,27.78,56.23,8.83,1008.57,0.34,9.13,24
2018-12-23,28.09,58.29,10.87,1008.55,0.47,9.91,24
2018-12-24,27.9,60.29,8.23,1007.7,13.04,9.13,24
2018-12-25,27.05,55.95,7.4,1006.03,13.11,9.74,24
2018-12-26,27.8,57.56,0.07,1007.27,12.77,9.01,24
2018-12-27,27.85,57.65,11.9,1007.27,12.54,9.17,24
2018-12-28,27.78,56.59,6.73,1008.07,13.37,8.87,24
2018-12-29,27.74,58.7,11.65,1009.24,12.23,9.23,24
2018-12-30,28.26,60.68,14.11,1005.71,13.64,9.2,24
2018-12-31,27.96,73.91,11.11,1006.57,25.52,9.36,24
2019-01-01,28.85,79.19,9.31,1009.17,27.26,9.76,24
2019-01-02,29.15,77.53,13.1,1005.61,25.8,9.19,24
2019-01-03,28.18,80.36,1.61,1005.44,27.29,9.95,24
2019-01-04,28.36,76.16,0.04,1007.17,27.56,9.3,24
2019-01-05,27.71,80.28,13.9,1008.4,26.71,9.3,24
2019-01-06,28.15,79.96,11.51,1007.0,25.52,9.24,24
2019-01-07,29.7,73.54,7.83,1008.17,37.39,9.73,24
2019-01-08,27.57,78.94,9.96,1007.54,39.43,9.08,24
2019-01-09,27.98,78.05,9.67,1007.67,37.07,9.22,24
2019-01-10,29.14,77.44,10.9,1007.12,38.79,9.19,24
2019-01-11,28.33,78.35,11.34,1009.97,38.76,9.61,24
2019-01-12,28.94,74.39,10.06,1006.13,37.13,9.21,24
2019-01-13,28.23,77.17,13.88,1003.35,37.09,9.46,24
2019-01-14,29.53,80.8,10.66,1007.2,66.13,9.92,24
2019-01-15,28.83,79.13,9.46,1004.14,63.97,9.92,24
2019-01-16,27.27,78.79,11.57,1005.23,64.08,9.82,24
2019-01-17,27.71,78.97,12.82,1007.37,61.24,9.05,24
2019-01-18,28.23,79.29,0.07,1002.68,61.01,9.73,24
2019-01-19,27.86,78.49,11.65,1003.12,65.71,9.29,24
2019-01-20,29.55,80.06,5.78,1002.28,65.3,9.32,24
2019-01-21,28.81,74.38,10.7,1003.76,62.82,9.58,24
2019-01-22,27.91,77.41,11.29,1005.92,64.83,9.52,24
2019-01-23,29.16,76.2,5.45,1005.83,66.99,9.14,24
2019-01-24,27.46,73.59,0.05,1005.65,65.5,9.42,24
2019-01-25,27.39,73.47,8.02,1002.96,67.04,9.46,24
2019-01-26,29.17,80.51,6.62,1001.44,64.87,9.75,24
2019-01-27,29.41,73.98,8.6,1005.31,63.53,9.39,24
2019-01-28,27.99,83.69,10.54,1004.66,62.89,8.74,24
2019-01-29,28.71,89.21,7.79,1006.0,64.03,9.54,24
2019-01-30,28.01,86.41,7.12,1006.53,61.91,8.98,24
2019-01-31,27.49,87.41,12.45,1005.7,64.1,9.02,24
2019-02-01,28.48,89.43,9.26,1006.81,62.8,9.51,24
2019-02-02,28.82,84.15,1.08,1005.81,65.23,8.74,24
2019-02-03,28.82,81.84,7.98,1006.47,59.78,9.26,24
2019-02-04,28.56,84.48,6.63,1006.61,27.1,8.86,24
2019-02-05,27.64,82.96,8.91,1007.41,27.89,8.63,24
2019-02-06,28.98,88.89,6.47,1007.86,27.71,9.34,24
2019-02-07,27.04,88.6,0.02,1009.3,26.87,8.8,24
2019-02-08,26.87,82.6,3.8,1007.44,26.52,9.13,24
2019-02-09,28.02,83.75,5.06,1008.54,28.54,8.39,24
2019-02-10,27.02,84.16,9.07,1007.46,27.31,8.67,24
2019-02-11,27.8,81.24,11.34,1006.83,39.95,9.48,24
2019-02-12,28.81,84.52,9.67,1008.45,39.99,9.13,24
2019-02-13,28.8,82.47,4.93,1003.97,39.59,9.18,24
